disaster_id,Historic,Classification Key,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,External IDs,event_name,country_iso,country,Subregion,region,location,origin,Associated Types,OFDA/BHA Response,appeal,declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,latitude,longitude,River Basin,year,month,day,end_year,end_month,end_day,deaths,injured,affected,homeless,total_affected,reconstruction_costs,"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",damage_usd,"Total Damage, Adjusted ('000 US$)",cpi,Admin Units,GADM Admin Units,Entry Date,Last Update,date,source,loaded_at
2022-0356-ZAF,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ZAF,South Africa,Sub-Saharan Africa,Africa,"Kleinvlei, Ravensmead, Goodwood, Strand, Bonteheuwel, Belhar, Maitland and Bellville South.(Cape Town)",Heavy rains,,No,No,No,,,Km2,,,,2022,6.0,13.0,2022,6.0,15.0,,4.0,200.0,,204.0,,,,,,,93.29460735164001,,,2022-06-29,2023-09-26,2022-06-13,emdat_file,2026-01-17T20:24:17.008267
2024-9131-ZMB,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2024-000018,,ZMB,Zambia,Sub-Saharan Africa,Africa,"Shangombo, Sinazongwe, Chirundu, Siavonga, Chikankata, Lusaka, Luapula, and the Western, Eastern, Southern, Central, and North-Western Provinces","Lack of rains, El Nino",Food shortage|Water shortage,No,Yes,Yes,,,Km2,,,,2024,2.0,15.0,2025,2.0,,,,9800000.0,,9800000.0,,,,,2261.0,2261.0,100.0,,"[{""gid_1"":""ZMB.10_1"",""name_1"":""Western""},{""gid_1"":""ZMB.1_1"",""name_1"":""Central""},{""gid_1"":""ZMB.3_1"",""name_1"":""Eastern""},{""gid_1"":""ZMB.4_1"",""name_1"":""Luapula""},{""gid_1"":""ZMB.5_1"",""name_1"":""Lusaka""},{""gid_1"":""ZMB.7_1"",""name_1"":""North-Western""},{""gid_1"":""ZMB.9_1"",""name_1"":""Southern""}]",2024-03-12,2025-12-20,2024-02-15,emdat_file,2026-01-17T20:24:17.008267
2022-0569-ZWE,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,GLIDE:EP-2022-000304,Measles,ZWE,Zimbabwe,Sub-Saharan Africa,Africa,"Masvingo, Manicaland, Mash-East, Mash-Central, Mash-West, Midlands, Mat North, Mat. South, Harare, Bulawayo",,,No,No,No,,,Vaccinated,,,,2022,4.0,15.0,2022,11.0,,750.0,6551.0,,,6551.0,,,,,,,93.29460735164001,,,2022-09-05,2023-09-26,2022-04-15,emdat_file,2026-01-17T20:24:17.008267
2024-9338-NAM,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2024-000094,,NAM,Namibia,Sub-Saharan Africa,Africa,"Khomas, Ohangwena, Kavango West, Kunene, and Kavango East",El Nino,Food shortage|Water shortage,No,No,Yes,,,Km2,,,,2024,5.0,15.0,2024,9.0,,,,1655000.0,,1655000.0,,,,,,,100.0,,"[{""gid_1"":""NAM.4_1"",""name_1"":""Kavango""},{""gid_1"":""NAM.5_1"",""name_1"":""Khomas""},{""gid_1"":""NAM.6_1"",""name_1"":""Kunene""},{""gid_1"":""NAM.7_1"",""name_1"":""Ohangwena""}]",2024-06-07,2025-12-20,2024-05-15,emdat_file,2026-01-17T20:24:17.008267
2025-0113-BWA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2025-000029,,BWA,Botswana,Sub-Saharan Africa,Africa,"Gaborone city area, Kgatleng, Ghanzi, Tlokweng (South-East), Francistown, Kweneng, and Boteti,",Heavy rains,,No,No,No,,,Km2,,,,2025,2.0,19.0,2025,2.0,21.0,9.0,,190343.0,,190343.0,,,,,,,,,,2025-02-21,2026-01-09,2025-02-19,emdat_file,2026-01-17T20:24:17.008267
2019-0123-AGO,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AGO,Angola,Sub-Saharan Africa,Africa,"Benguela, Luanda, Huíla, Zaire Provinces",Heavy rains,,No,No,No,,,Km2,,,,2019,3.0,16.0,2019,3.0,22.0,19.0,,795.0,280.0,1075.0,,,,,,,81.50030940991486,"[{""adm1_code"":399,""adm1_name"":""Benguela""},{""adm1_code"":406,""adm1_name"":""Huila""},{""adm1_code"":408,""adm1_name"":""Luanda""},{""adm1_code"":415,""adm1_name"":""Zaire""}]","[{""gid_1"":""AGO.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Huíla""},{""gid_1"":""AGO.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Luanda""},{""gid_1"":""AGO.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Zaire""},{""gid_1"":""AGO.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Benguela""}]",2019-03-22,2025-12-20,2019-03-16,emdat_file,2026-01-17T20:24:17.008267
2023-0844-AGO,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2023-000249,,AGO,Angola,Sub-Saharan Africa,Africa,"Luanda, Huambo, Bie, Malanje and Kwanza Norte provinces",Heavy rains,,No,No,No,,,Km2,,,,2023,11.0,30.0,2023,12.0,5.0,30.0,,116275.0,,116275.0,,,,,,,97.13499263687517,,"[{""gid_1"":""AGO.11_1"",""name_1"":""Luanda""},{""gid_1"":""AGO.14_1"",""name_1"":""Malanje""},{""gid_1"":""AGO.3_1"",""name_1"":""Bié""},{""gid_1"":""AGO.6_1"",""name_1"":""Cuanza Norte""},{""gid_1"":""AGO.9_1"",""name_1"":""Huambo""}]",2023-12-19,2026-01-16,2023-11-30,emdat_file,2026-01-17T20:24:17.008267
